id,中文標準,原題,選項配分,原作者建議來源
C1,人類嚴重度,"Is case fatality rate greater than 5% if untreated, or does the pathogen cause long term disability in greater than 10% of people infected?","a) Yes (1)
b) No (0)","- CDC 
- WHO"
C2,食用動物死亡與生產衝擊,"In the absence of a control program, does the pathogen/disease cause greater than 5% mortality or decrease production more than 25% in food producing animals?","a) Yes (1)
b) No (0)","- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State"
C3,防治可行性,Is there an effective vaccine in humans or animals or an effective treatment in humans?,"a) No (1/3)
b) Human or Animal (2/3)
c) Human AND Animal (3/3)","- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State"
C4,部門協作條件,Surveillance/control measures in the Ministry of Health (MOH) and/or the Ministry of Agriculture (MOA)?,"a) No (1/3)
b) MOH or MOA (2/3)
c) MOH and MOA (3/3)",- Inquiry to ‘Country X’
C5,生物恐怖相關清單,Is the pathogen listed as class A or B on the select agent list?,"a) Yes (1)
b) No (0)",- CDC
